Name,Points
Jayson Tatum,31
Luka Doncic,28
Jaylen Brown,21
Jrue Holiday,15
Kyrie Irving,15
Name,Rebounds
Luka Doncic,12
Jrue Holiday,11
Al Horford,9
Jaylen Brown,8
Jayson Tatum,8
Name,Assists
Jayson Tatum,11
Kyrie Irving,9
Jaylen Brown,6
Luka Doncic,5
Jrue Holiday,4
Name,Blocks
P.J. Washington,2
Jrue Holiday,1
Derrick Jones Jr.,1
Dereck Lively II,1
Derrick White,1
Name,Steals
Luka Doncic,3
Jaylen Brown,2
Al Horford,2
Jayson Tatum,2
Derrick White,2
Name,Turnovers
Luka Doncic,7
P.J. Washington,4
Jrue Holiday,2
Jayson Tatum,2
Derrick White,2
Name,Three Pointers Made
Josh Green,4
Derrick White,4
Kyrie Irving,3
Jaylen Brown,2
Luka Doncic,2
Name,Free Throws Made
Jayson Tatum,8
Jaylen Brown,5
Luka Doncic,2
Kyrie Irving,2
Derrick White,2
Name,Fantasy Points
Jayson Tatum,61.1
Luka Doncic,51.9
Jaylen Brown,44.6
Jrue Holiday,35.2
Kyrie Irving,34.1
